,D,T,G
51534,992.7810843373495,509.02610441767075,41269.52674431211
51535,992.7810843373495,515.9604016064258,40336.776820775034
51536,992.7810843373495,522.8946987951808,39158.77033493839
51537,992.7810843373495,529.8289959839358,37734.69110620238
51538,992.7810843373495,536.7632931726909,36063.94868402539
51539,992.7810843373495,543.6975903614459,34146.156377784966
51540,992.7810843373495,550.6318875502009,31981.11177587274
51541,992.7810843373495,557.5661847389558,29568.77940405282
51542,992.7810843373495,564.5004819277109,26909.2752288935
51543,992.7810843373495,571.434779116466,24002.852757810575
51544,992.7810843373495,578.3690763052209,20849.89052639415
51545,992.7810843373495,585.303373493976,17450.88079584116
51546,992.7810843373495,592.237670682731,13806.419310434001
51547,992.7810843373495,599.171967871486,9917.195987378402
51548,992.7810843373495,606.106265060241,5783.9864306089285
51549,992.7810843373495,613.040562248996,1407.6441755256988
51550,992.7810843373495,619.9748594377511,-3210.9064147785825
51551,992.7810843373495,626.909156626506,-8070.67667031933
51552,992.7810843373495,633.8434538152611,-13170.61961122581
51553,992.7810843373495,640.7777510040162,-18509.635472145063
51554,992.7810843373495,647.7120481927711,-24086.576798852067
51555,992.7810843373495,654.6463453815261,-29900.25315600505
51556,992.7810843373495,661.5806425702813,-35949.43548050283
51557,992.7810843373495,668.5149397590362,-42232.86011074037
51558,992.7810843373495,675.4492369477912,-48749.2325185883
51559,992.7810843373495,682.3835341365462,-55497.230768113994
51560,992.7810843373495,689.3178313253013,-62475.508722463615
51561,992.7810843373495,696.2521285140563,-69682.6990181257
51562,992.7810843373495,703.1864257028113,-77117.41582406084
51563,992.7810843373495,710.1207228915664,-84778.2574012846
51564,992.7810843373495,717.0550200803214,-92663.80847737039
51565,992.7810843373495,723.9893172690763,-100772.64244888123
51566,992.7810843373495,730.9236144578314,-109103.32342366898
51567,992.7810843373495,737.8579116465864,-117654.40811409417
51568,992.7810843373495,744.7922088353414,-126424.44759122748
51569,992.7810843373495,751.7265060240965,-135411.9889093555
51570,992.7810843373495,758.6608032128515,-144615.5766095652
51571,992.7810843373495,765.5951004016065,-154033.7541102206
51572,992.7810843373495,772.5293975903614,-163665.064991924
51573,992.7810843373495,779.4636947791166,-173508.0541838264
51574,992.7810843373495,786.3979919678716,-183561.2690577283
51575,992.7810843373495,793.3322891566265,-193823.2604360248
51576,992.7810843373495,800.2665863453817,-204292.58351902873
51577,992.7810843373495,807.2008835341367,-214967.79873704753
51578,992.7810843373495,814.1351807228916,-225847.47253198965
51579,992.7810843373495,821.0694779116466,-236930.1780731518
51580,992.7810843373495,828.0037751004018,-248214.49591158636
51581,992.7810843373495,834.9380722891567,-259699.01457682723
51582,992.7810843373495,841.8723694779117,-271382.33112005645
51583,992.7810843373495,848.8066666666668,-283263.051607046
51584,992.7810843373495,855.7409638554218,-295339.7915642486
51585,992.7810843373495,862.6752610441768,-307611.176381229
51586,992.7810843373495,869.6095582329317,-320075.8416722236
51587,992.7810843373495,876.5438554216869,-332732.4335997002
51588,992.7810843373495,883.4781526104418,-345579.60916244774
51589,992.7810843373495,890.4124497991968,-358616.03645056114
51590,992.7810843373495,897.346746987952,-371840.39486967714
51591,992.7810843373495,904.2810441767069,-385251.375336514
51592,992.7810843373495,911.2153413654619,-398847.6804477658
51593,992.7810843373495,918.1496385542168,-412628.0246241802
51594,992.7810843373495,925.083935742972,-426591.13423160906
51595,992.7810843373495,932.018232931727,-440735.74768064317
51596,992.7810843373495,938.9525301204819,-455060.61550644547
51597,992.7810843373495,945.8868273092371,-469564.5004301262
51598,992.7810843373495,952.8211244979921,-484246.1774030918
51599,992.7810843373495,959.755421686747,-499104.43363566045
51600,992.7810843373495,966.6897188755022,-514138.0686110477
51601,992.7810843373495,973.6240160642571,-529345.8940859175
51602,992.7810843373495,980.5583132530121,-544726.7340785133
51603,992.7810843373495,987.492610441767,-560279.4248453322
51604,992.7810843373495,994.4269076305222,-576002.8148473302
51605,992.7810843373495,1001.3612048192772,-591895.7647064019
51606,992.7810843373495,1008.2955020080321,-607957.1471530492
51607,992.7810843373495,1015.2297991967873,-624185.8469658914
51608,992.7810843373495,1022.1640963855423,-640580.7609038287
51609,992.7810843373495,1029.0983935742972,-657140.7976314146
51610,992.7810843373495,1036.0326907630522,-673864.8776380755
51611,992.7810843373495,1042.9669879518074,-690751.9331518003
51612,992.7810843373495,1049.9012851405623,-707800.9080477613
51613,992.7810843373495,1056.8355823293173,-725010.7577524253
51614,992.7810843373495,1063.7698795180725,-742380.4491435834
51615,992.7810843373495,1070.7041767068274,-759908.9604467205
51616,992.7810843373495,1077.6384738955824,-777595.2811281859
51617,992.7810843373495,1084.5727710843375,-795438.4117854714
51618,992.7810843373495,1091.5070682730925,-813437.3640350163
51619,992.7810843373495,1098.4413654618475,-831591.1603977823
51620,992.7810843373495,1105.3756626506024,-849898.8341829678
