,T,P,U
34073,1487.4269406392696,881278611.3530815,3745138.7239777907
34074,1487.4269406392696,885844818.604886,3743847.7518852567
34075,1487.4269406392696,890411025.8566905,3742567.767904826
34076,1487.4269406392696,894977233.1084951,3741298.6615300337
34077,1487.4269406392696,899543440.3602997,3740040.323386995
34078,1487.4269406392696,904109647.6121043,3738792.6452272236
34079,1487.4269406392696,908675854.8639088,3737555.519920567
34080,1487.4269406392696,913242062.1157134,3736328.841448162
34081,1487.4269406392696,917808269.367518,3735112.504895451
34082,1487.4269406392696,922374476.6193225,3733906.4064452057
34083,1487.4269406392696,926940683.871127,3732710.443370586
34084,1487.4269406392696,931506891.1229316,3731524.5140281646
34085,1487.4269406392696,936073098.3747362,3730348.5178509923
34086,1487.4269406392696,940639305.6265408,3729182.355341593
34087,1487.4269406392696,945205512.8783453,3728025.928064966
34088,1487.4269406392696,949771720.1301498,3726879.138641546
34089,1487.4269406392696,954337927.3819544,3725741.8907401212
34090,1487.4269406392696,958904134.633759,3724614.0890707006
34091,1487.4269406392696,963470341.8855636,3723495.6393773574
34092,1487.4269406392696,968036549.1373681,3722386.44843099
34093,1487.4269406392696,972602756.3891727,3721286.424022047
34094,1487.4269406392696,977168963.6409773,3720195.4749531923
34095,1487.4269406392696,981735170.8927819,3719113.5110319117
34096,1487.4269406392696,986301378.1445863,3718040.443063052
34097,1487.4269406392696,990867585.3963909,3716976.18284132
34098,1487.4269406392696,995433792.6481955,3715920.6431436995
34099,1487.4269406392696,999999999.9,3714873.737721827
34101,1495.3111415525116,4566819.006605459,4510189.185203236
34102,1495.3111415525116,9133026.258410022,4501994.003821199
34103,1495.3111415525116,13699233.510214584,4493797.7168272585
34104,1495.3111415525116,18265440.762019146,4485604.157226248
34105,1495.3111415525116,22831648.013823707,4477417.237646627
34106,1495.3111415525116,27397855.26562827,4469240.920132952
34107,1495.3111415525116,31964062.517432835,4461079.187840407
34108,1495.3111415525116,36530269.76923739,4452936.016000779
34109,1495.3111415525116,41096477.02104195,4444815.344470108
34110,1495.3111415525116,45662684.27284651,4436721.051611852
34111,1495.3111415525116,50228891.52465108,4428656.929986902
34112,1495.3111415525116,54795098.77645564,4420626.664182361
34113,1495.3111415525116,59361306.0282602,4412633.811053575
34114,1495.3111415525116,63927513.28006477,4404681.782586872
34115,1495.3111415525116,68493720.53186934,4396773.831517959
34116,1495.3111415525116,73059927.7836739,4388913.039766614
34117,1495.3111415525116,77626135.03547846,4381102.309675891
34118,1495.3111415525116,82192342.28728302,4373344.357976759
34119,1495.3111415525116,86758549.53908758,4365641.712339399
34120,1495.3111415525116,91324756.79089214,4357996.7103220895
34121,1495.3111415525116,95890964.04269671,4350411.500489151
34122,1495.3111415525116,100457171.29450127,4342888.045440884
34123,1495.3111415525116,105023378.54630584,4335428.126481021
34124,1495.3111415525116,109589585.7981104,4328033.3496399885
34125,1495.3111415525116,114155793.04991496,4320705.152774455
34126,1495.3111415525116,118722000.30171952,4313444.813473675
34127,1495.3111415525116,123288207.55352408,4306253.457519805
34128,1495.3111415525116,127854414.80532865,4299132.067670974
34129,1495.3111415525116,132420622.05713321,4292081.492561184
34130,1495.3111415525116,136986829.30893776,4285102.455538523
34131,1495.3111415525116,141553036.56074232,4278195.56329172
34132,1495.3111415525116,146119243.81254688,4271361.314143498
34133,1495.3111415525116,150685451.06435144,4264600.105916831
34134,1495.3111415525116,155251658.316156,4257912.2433061795
34135,1495.3111415525116,159817865.56796056,4251297.944709797
34136,1495.3111415525116,164384072.81976512,4244757.348500607
34137,1495.3111415525116,168950280.07156968,4238290.518731996
34138,1495.3111415525116,173516487.32337424,4231897.450290839
34139,1495.3111415525116,178082694.5751788,4225578.07352315
34140,1495.3111415525116,182648901.82698336,4219332.258368176
34141,1495.3111415525116,187215109.07878795,4213159.818044395
34142,1495.3111415525116,191781316.3305925,4207060.512336043
34143,1495.3111415525116,196347523.58239707,4201034.0505318325
34144,1495.3111415525116,200913730.83420163,4195080.094068336
34145,1495.3111415525116,205479938.0860062,4189198.2589296903
34146,1495.3111415525116,210046145.33781075,4183388.1178530366
34147,1495.3111415525116,214612352.58961532,4177649.2023854875
34148,1495.3111415525116,219178559.84141988,4171981.004834104
34149,1495.3111415525116,223744767.09322444,4166382.9801452523
34150,1495.3111415525116,228310974.345029,4160854.5477442592
34151,1495.3111415525116,232877181.59683356,4155395.0933606913
34152,1495.3111415525116,237443388.84863812,4150003.9708589767
34153,1495.3111415525116,242009596.10044268,4144680.504088713
34154,1495.3111415525116,246575803.35224724,4139423.9887639997
34155,1495.3111415525116,251142010.6040518,4134233.694376509
34156,1495.3111415525116,255708217.8558564,4129108.866143049
34157,1495.3111415525116,260274425.10766095,4124048.7269848133
34158,1495.3111415525116,264840632.3594655,4119052.4795327885
34159,1495.3111415525116,269406839.61127007,4114119.3081514277
34160,1495.3111415525116,273973046.86307466,4109248.380971117
34161,1495.3111415525116,278539254.1148792,4104438.851918832
34162,1495.3111415525116,283105461.3666838,4099689.8627357287
34163,1495.3111415525116,287671668.6184883,4095000.544970299
34164,1495.3111415525116,292237875.8702929,4090370.0219358555
34165,1495.3111415525116,296804083.1220975,4085797.4106216873
34166,1495.3111415525116,301370290.373902,4081281.823547935
34167,1495.3111415525116,305936497.6257066,4076822.3705552267
34168,1495.3111415525116,310502704.87751114,4072418.1605211706
34169,1495.3111415525116,315068912.12931573,4068068.302996987
34170,1495.3111415525116,319635119.38112026,4063771.909758752
34171,1495.3111415525116,324201326.63292485,4059528.0962689193
34172,1495.3111415525116,328767533.8847294,4055335.983044988
34173,1495.3111415525116,333333741.136534,4051194.6969332653
34174,1495.3111415525116,337899948.3883385,4047103.37228672
34175,1495.3111415525116,342466155.6401431,4043061.152046898
34176,1495.3111415525116,347032362.8919476,4039067.188730686
34177,1495.3111415525116,351598570.1437522,4035120.645323515
34178,1495.3111415525116,356164777.39555675,4031220.6960811806
34179,1495.3111415525116,360730984.64736134,4027366.5272430787
34180,1495.3111415525116,365297191.89916587,4023557.3376600672
34181,1495.3111415525116,369863399.15097046,4019792.3393405294
34182,1495.3111415525116,374429606.40277505,4016070.757918533
34183,1495.3111415525116,378995813.6545796,4012391.833048128
34184,1495.3111415525116,383562020.90638417,4008754.8187280106
34185,1495.3111415525116,388128228.1581887,4005158.9835608364
34186,1495.3111415525116,392694435.4099933,4001603.610951469
34187,1495.3111415525116,397260642.6617978,3998087.9992484613
34188,1495.3111415525116,401826849.9136024,3994611.4618329797
34189,1495.3111415525116,406393057.16540694,3991173.327159292
34190,1495.3111415525116,410959264.41721153,3987772.938750817
34191,1495.3111415525116,415525471.66901606,3984409.655155597
34192,1495.3111415525116,420091678.92082065,3981082.8498648945
34193,1495.3111415525116,424657886.1726252,3977791.911198438
34194,1495.3111415525116,429224093.4244298,3974536.2421596753
34195,1495.3111415525116,433790300.6762343,3971315.2602642043
34196,1495.3111415525116,438356507.9280389,3968128.397344361
34197,1495.3111415525116,442922715.1798435,3964975.099332774
34198,1495.3111415525116,447488922.431648,3961854.8260275144
34199,1495.3111415525116,452055129.6834526,3958767.050841258
34200,1495.3111415525116,456621336.93525714,3955711.2605367545
34201,1495.3111415525116,461187544.1870617,3952686.954950688
34202,1495.3111415525116,465753751.43886626,3949693.6467078924
34203,1495.3111415525116,470319958.69067085,3946730.860927671
34204,1495.3111415525116,474886165.9424754,3943798.134923905
34205,1495.3111415525116,479452373.19427997,3940895.017900421
34206,1495.3111415525116,484018580.4460845,3938021.0706430064
34207,1495.3111415525116,488584787.6978891,3935175.865209321
34208,1495.3111415525116,493150994.9496936,3932358.9846178214
34209,1495.3111415525116,497717202.2014982,3929570.022536752
34210,1495.3111415525116,502283409.45330274,3926808.582974108
34211,1495.3111415525116,506849616.70510733,3924074.279969406
34212,1495.3111415525116,511415823.9569119,3921366.7372880057
34213,1495.3111415525116,515982031.20871645,3918685.5881186626
34214,1495.3111415525116,520548238.46052104,3916030.4747748645
34215,1495.3111415525116,525114445.7123256,3913401.0484005283
34216,1495.3111415525116,529680652.96413016,3910796.968680451
34217,1495.3111415525116,534246860.2159347,3908217.9035559725
34218,1495.3111415525116,538813067.4677392,3905663.528946153
34219,1495.3111415525116,543379274.7195438,3903133.5284747826
34220,1495.3111415525116,547945481.9713484,3900627.593203478
34221,1495.3111415525116,552511689.223153,3898145.421371053
34222,1495.3111415525116,557077896.4749575,3895686.718139378
34223,1495.3111415525116,561644103.726762,3893251.195345808
34224,1495.3111415525116,566210310.9785666,3890838.5712623536
34225,1495.3111415525116,570776518.2303712,3888448.5703616138
34226,1495.3111415525116,575342725.4821757,3886080.923089563
34227,1495.3111415525116,579908932.7339803,3883735.365645204
34228,1495.3111415525116,584475139.9857849,3881411.6397671
34229,1495.3111415525116,589041347.2375895,3879109.4925267766
34230,1495.3111415525116,593607554.4893941,3876828.6761289528
34231,1495.3111415525116,598173761.7411985,3874568.947718572
34232,1495.3111415525116,602739968.9930031,3872330.069194571
34233,1495.3111415525116,607306176.2448077,3870111.8070303015
34234,1495.3111415525116,611872383.4966123,3867913.93210053
34235,1495.3111415525116,616438590.7484168,3865736.2195149334
34236,1495.3111415525116,621004798.0002214,3863578.44845797
34237,1495.3111415525116,625571005.252026,3861440.402035013
34238,1495.3111415525116,630137212.5038306,3859321.8671246488
34239,1495.3111415525116,634703419.755635,3857222.6342369947
34240,1495.3111415525116,639269627.0074396,3855142.497377911
34241,1495.3111415525116,643835834.2592442,3853081.2539189733
34242,1495.3111415525116,648402041.5110488,3851038.7044730713
34243,1495.3111415525116,652968248.7628533,3849014.652775482
34244,1495.3111415525116,657534456.0146579,3847008.905570259
34245,1495.3111415525116,662100663.2664624,3845021.2725018314
34246,1495.3111415525116,666666870.518267,3843051.566011606
34247,1495.3111415525116,671233077.7700716,3841099.6012394694
34248,1495.3111415525116,675799285.0218761,3839165.195930007
34249,1495.3111415525116,680365492.2736807,3837248.1703432896
34250,1495.3111415525116,684931699.5254853,3835348.347170089
34251,1495.3111415525116,689497906.7772899,3833465.551451367
34252,1495.3111415525116,694064114.0290943,3831599.6105018426
34253,1495.3111415525116,698630321.2808989,3829750.3538375706
34254,1495.3111415525116,703196528.5327035,3827917.61310729
34255,1495.3111415525116,707762735.7845081,3826101.2220274536
34256,1495.3111415525116,712328943.0363126,3824301.016320765
34257,1495.3111415525116,716895150.2881172,3822516.8336580996
34258,1495.3111415525116,721461357.5399218,3820748.513603617
34259,1495.3111415525116,726027564.7917264,3818995.897563004
34260,1495.3111415525116,730593772.0435308,3817258.828734628
34261,1495.3111415525116,735159979.2953354,3815537.1520635197
34262,1495.3111415525116,739726186.54714,3813830.7141980296
34263,1495.3111415525116,744292393.7989446,3812139.363449037
34264,1495.3111415525116,748858601.0507492,3810462.9497515806
34265,1495.3111415525116,753424808.3025537,3808801.324628791
34266,1495.3111415525116,757991015.5543582,3807154.3411579975
34267,1495.3111415525116,762557222.8061628,3805521.8539389153
34268,1495.3111415525116,767123430.0579674,3803903.719063763
