,T,D,S
22069,1976.723624161074,153.03013422818793,7709.46724475957
22070,1976.723624161074,161.0838255033557,7680.360824697707
22071,1976.723624161074,169.1375167785235,7652.381853373438
22072,1976.723624161074,177.1912080536913,7625.4226436186
22073,1976.723624161074,185.24489932885908,7599.389843222388
22074,1976.723624161074,193.29859060402686,7574.201990384608
22075,1976.723624161074,201.35228187919463,7549.787568144361
22076,1976.723624161074,209.4059731543624,7526.0834402923065
22077,1976.723624161074,217.45966442953022,7503.033582363785
22078,1976.723624161074,225.513355704698,7480.58804334599
22079,1976.723624161074,233.56704697986578,7458.702089576247
22080,1976.723624161074,241.6207382550336,7437.335493851132
22081,1976.723624161074,249.67442953020137,7416.451941277369
22082,1976.723624161074,257.72812080536914,7396.018529741035
22083,1976.723624161074,265.78181208053695,7376.00534765175
22084,1976.723624161074,273.8355033557047,7356.385115252858
22085,1976.723624161074,281.8891946308725,7337.1328785761725
22086,1976.723624161074,289.94288590604026,7318.225747274783
22087,1976.723624161074,297.99657718120807,7299.642669245482
22088,1976.723624161074,306.0502684563759,7281.364236268022
22089,1976.723624161074,314.1039597315436,7263.372515926107
22090,1976.723624161074,322.15765100671143,7245.650905898364
22091,1976.723624161074,330.21134228187924,7228.1840073644335
22092,1976.723624161074,338.265033557047,7210.9575147978585
22093,1976.723624161074,346.3187248322148,7193.958119842234
22094,1976.723624161074,354.3724161073826,7177.17342731125
22095,1976.723624161074,362.42610738255036,7160.591881633997
22096,1976.723624161074,370.47979865771816,7144.202702297463
22097,1976.723624161074,378.5334899328859,7127.995827028909
22098,1976.723624161074,386.5871812080537,7111.961861620129
22099,1976.723624161074,394.64087248322153,7096.0920354301215
22100,1976.723624161074,402.6945637583893,7080.378161717526
22101,1976.723624161074,410.7482550335571,7064.812602053656
22102,1976.723624161074,418.80194630872484,7049.3882341542985
22103,1976.723624161074,426.85563758389264,7034.098422546202
22104,1976.723624161074,434.90932885906045,7018.936991554443
22105,1976.723624161074,442.9630201342282,7003.8982001611585
22106,1976.723624161074,451.016711409396,6988.976718345525
22107,1976.723624161074,459.0704026845638,6974.167604570295
22108,1976.723624161074,467.12409395973157,6959.466284132206
22109,1976.723624161074,475.1777852348994,6944.868528142474
22110,1976.723624161074,483.2314765100672,6930.3704329495695
22111,1976.723624161074,491.28516778523493,6915.96839985974
22112,1976.723624161074,499.33885906040274,6901.659115051135
22113,1976.723624161074,507.3925503355705,6887.439529614753
22114,1976.723624161074,515.4462416107383,6873.306839689817
22115,1976.723624161074,523.4999328859061,6859.258466692297
22116,1976.723624161074,531.5536241610739,6845.292037662751
22117,1976.723624161074,539.6073154362416,6831.405365783796
22118,1976.723624161074,547.6610067114094,6817.596431137536
22119,1976.723624161074,555.7146979865772,6803.86336178967
22120,1976.723624161074,563.768389261745,6790.204415299291
22121,1976.723624161074,571.8220805369128,6776.617960761863
22122,1976.723624161074,579.8757718120805,6763.102461497475
22123,1976.723624161074,587.9294630872483,6749.656458497412
22124,1976.723624161074,595.9831543624161,6736.278554739641
22125,1976.723624161074,604.036845637584,6722.967400478036
22126,1976.723624161074,612.0905369127518,6709.721679601789
22127,1976.723624161074,620.1442281879196,6696.540097150279
22128,1976.723624161074,628.1979194630873,6683.421368055668
22129,1976.723624161074,636.2516107382551,6670.364207170581
