,V,T,U
40373,1.1648479353760808,1126.1785542168675,3766077.2866697074
40374,1.1648479353760808,1133.1128514056227,3779392.1513620457
40375,1.1648479353760808,1140.0471485943776,3792740.1217325097
40376,1.1648479353760808,1146.9814457831326,3806121.1152031412
40377,1.1648479353760808,1153.9157429718875,3819535.0467132903
40378,1.1648479353760808,1160.8500401606427,3832981.8287793426
40379,1.1648479353760808,1167.7843373493977,3846461.371554676
40380,1.1648479353760808,1174.7186345381526,3859973.58288976
40381,1.1648479353760808,1181.6529317269078,3873518.368392332
40382,1.1648479353760808,1188.5872289156628,3887095.6314875674
40383,1.1648479353760808,1195.5215261044177,3900705.2734781774
40384,1.1648479353760808,1202.455823293173,3914347.193604387
40385,1.1648479353760808,1209.3901204819279,3928021.2891036985
40386,1.1648479353760808,1216.3244176706828,3941727.4552704296
40387,1.1648479353760808,1223.2587148594378,3955465.5855149194
40388,1.1648479353760808,1230.193012048193,3969235.5714224065
40389,1.1648479353760808,1237.127309236948,3983037.302811483
40390,1.1648479353760808,1244.0616064257028,3996870.6677921065
40391,1.1648479353760808,1250.995903614458,4010735.5528231445
40392,1.1648479353760808,1257.930200803213,4024631.8427693523
40393,1.1648479353760808,1264.864497991968,4038559.4209578265
40394,1.1648479353760808,1271.798795180723,4052518.169233842
40395,1.1648479353760808,1278.733092369478,4066507.9680160643
40396,1.1648479353760808,1285.667389558233,4080528.696351119
40397,1.1648479353760808,1292.601686746988,4094580.2319674585
40398,1.1648479353760808,1299.535983935743,4108662.4513285556
40399,1.1648479353760808,1306.4702811244981,4122775.2296853377
40400,1.1648479353760808,1313.404578313253,4136918.4411279024
40401,1.1648479353760808,1320.338875502008,4151091.9586364557
40402,1.1648479353760808,1327.2731726907632,4165295.654131481
40403,1.1648479353760808,1334.2074698795182,4179529.398523103
40404,1.1648479353760808,1341.141767068273,4193793.061759668
40405,1.1648479353760808,1348.076064257028,4208086.512875489
40406,1.1648479353760808,1355.0103614457832,4222409.6200377755
40407,1.1648479353760808,1361.9446586345382,4236762.250592737
40408,1.1648479353760808,1368.8789558232932,4251144.271110843
40409,1.1648479353760808,1375.8132530120483,4265555.547431235
40410,1.1648479353760808,1382.7475502008033,4279995.944705305
40411,1.1648479353760808,1389.6818473895582,4294465.32743942
40412,1.1648479353760808,1396.6161445783132,4308963.559536791
40413,1.1648479353760808,1403.5504417670684,4323490.504338504
40414,1.1648479353760808,1410.4847389558233,4338046.024663684
40415,1.1648479353760808,1417.4190361445783,4352629.982848831
40416,1.1648479353760808,1424.3533333333335,4367242.240786293
40417,1.1648479353760808,1431.2876305220884,4381882.659961904
40418,1.1648479353760808,1438.2219277108434,4396551.101491792
40419,1.1648479353760808,1445.1562248995986,4411247.4261583295
40420,1.1648479353760808,1452.0905220883535,4425971.49444528
40421,1.1648479353760808,1459.0248192771085,4440723.166572109
40422,1.1648479353760808,1465.9591164658634,4455502.302527482
40423,1.1648479353760808,1472.8934136546186,4470308.762101948
40424,1.1648479353760808,1479.8277108433736,4485142.404919835
40425,1.1648479353760808,1486.7620080321285,4500003.090470334
40426,1.1648479353760808,1493.6963052208837,4514890.678137812
40427,1.1648479353760808,1500.6306024096386,4529805.0272313375
40428,1.1648479353760808,1507.5648995983936,4544745.997013447
40429,1.1648479353760808,1514.4991967871485,4559713.446728148
40430,1.1648479353760808,1521.4334939759037,4574707.235628176
40431,1.1648479353760808,1528.3677911646587,4589727.223001511
40432,1.1648479353760808,1535.3020883534136,4604773.268197164
40433,1.1648479353760808,1542.2363855421688,4619845.230650251
40434,1.1648479353760808,1549.1706827309238,4634942.9699063515
40435,1.1648479353760808,1556.1049799196787,4650066.34564518
40436,1.1648479353760808,1563.0392771084337,4665215.217703557
40437,1.1648479353760808,1569.9735742971889,4680389.4460977195
40438,1.1648479353760808,1576.9078714859438,4695588.8910449585
40439,1.1648479353760808,1583.8421686746988,4710813.412984603
40440,1.1648479353760808,1590.776465863454,4726062.872598369
40441,1.1648479353760808,1597.710763052209,4741337.130830065
40442,1.1648479353760808,1604.6450602409639,4756636.048904694
40443,1.1648479353760808,1611.579357429719,4771959.4883469315
40444,1.1648479353760808,1618.513654618474,4787307.310999015
40445,1.1648479353760808,1625.447951807229,4802679.379038048
40446,1.1648479353760808,1632.382248995984,4818075.554992724
40447,1.1648479353760808,1639.316546184739,4833495.7017594855
40448,1.1648479353760808,1646.250843373494,4848939.68261814
40449,1.1648479353760808,1653.185140562249,4864407.361246928
40450,1.1648479353760808,1660.1194377510042,4879898.601737052
40451,1.1648479353760808,1667.0537349397591,4895413.268606704
40452,1.1648479353760808,1673.988032128514,4910951.226814572
40453,1.1648479353760808,1680.922329317269,4926512.341772843
40454,1.1648479353760808,1687.8566265060242,4942096.479359738
40455,1.1648479353760808,1694.7909236947792,4957703.505931541
40456,1.1648479353760808,1701.7252208835341,4973333.288334203
40457,1.1648479353760808,1708.6595180722893,4988985.6939144395
40458,1.1648479353760808,1715.5938152610443,5004660.590530422
40459,1.1648479353760808,1722.5281124497992,5020357.846562008
40460,1.1648479353760808,1729.4624096385544,5036077.330920575
40461,1.1648479353760808,1736.3967068273093,5051818.913058395
40462,1.1648479353760808,1743.3310040160643,5067582.462977643
40463,1.1648479353760808,1750.2653012048193,5083367.851238992
40464,1.1648479353760808,1757.1995983935744,5099174.948969807
40465,1.1648479353760808,1764.1338955823294,5115003.627871993
40466,1.1648479353760808,1771.0681927710843,5130853.760229446
40467,1.1648479353760808,1778.0024899598395,5146725.218915153
40468,1.1648479353760808,1784.9367871485945,5162617.877397945
40469,1.1648479353760808,1791.8710843373494,5178531.609748907
40470,1.1648479353760808,1798.8053815261044,5194466.29064745
40471,1.1648479353760808,1805.7396787148596,5210421.795387062
40472,1.1648479353760808,1812.6739759036145,5226397.999880739
40473,1.1648479353760808,1819.6082730923695,5242394.7806661045
40474,1.1648479353760808,1826.5425702811247,5258412.01491025
40475,1.1648479353760808,1833.4768674698796,5274449.580414245
40476,1.1648479353760808,1840.4111646586346,5290507.355617396
40477,1.1648479353760808,1847.3454618473897,5306585.219601216
40478,1.1648479353760808,1854.2797590361447,5322683.052093113
40479,1.1648479353760808,1861.2140562248997,5338800.733469844
40480,1.1648479353760808,1868.1483534136546,5354938.144760681
40481,1.1648479353760808,1875.0826506024098,5371095.167650357
40482,1.1648479353760808,1882.0169477911647,5387271.6844817465
40483,1.1648479353760808,1888.9512449799197,5403467.578258339
40484,1.1648479353760808,1895.8855421686749,5419682.732646459
40485,1.1648479353760808,1902.8198393574298,5435917.0319772735
40486,1.1648479353760808,1909.7541365461848,5452170.3612485975
40487,1.1648479353760808,1916.6884337349397,5468442.606126473
40488,1.1648479353760808,1923.622730923695,5484733.652946557
40489,1.1648479353760808,1930.5570281124499,5501043.388715298
40490,1.1648479353760808,1937.4913253012048,5517371.701110951
40491,1.1648479353760808,1944.42562248996,5533718.478484375
40492,1.1648479353760808,1951.359919678715,5550083.609859669
40493,1.1648479353760808,1958.29421686747,5566466.984934638
40494,1.1648479353760808,1965.2285140562249,5582868.494081081
40495,1.1648479353760808,1972.16281124498,5599288.028344912
40496,1.1648479353760808,1979.097108433735,5615725.479446137
40497,1.1648479353760808,1986.03140562249,5632180.739778674
40498,1.1648479353760808,1992.9657028112451,5648653.702410013
40499,1.1648479353760808,1999.9,5665144.261080756
40501,1.1720829224740799,280.19429718875506,1221469.7970668392
40502,1.1720829224740799,287.12859437751007,1891490.7595627801
40503,1.1720829224740799,294.0628915662651,2403760.9998869067
40504,1.1720829224740799,300.99718875502015,2413628.910090156
40505,1.1720829224740799,307.93148594377516,2423466.257629342
40506,1.1720829224740799,314.86578313253017,2433294.8502204167
40507,1.1720829224740799,321.8000803212852,2443123.5547394454
40508,1.1720829224740799,328.7343775100402,2452956.970438038
