,P,T,U
2567,252525709.77126533,1441.7941414141414,3988814.4786716825
2568,252525709.77126533,1459.2349494949497,4035873.7635132186
2569,252525709.77126533,1476.6757575757576,4082757.2769268514
2570,252525709.77126533,1494.1165656565659,4129479.2696321816
2571,252525709.77126533,1511.5573737373738,4176053.1098666675
2572,252525709.77126533,1528.998181818182,4222491.326880453
2573,252525709.77126533,1546.43898989899,4268805.654484779
2574,252525709.77126533,1563.879797979798,4315007.0741063645
2575,252525709.77126533,1581.3206060606062,4361105.856931179
2576,252525709.77126533,1598.7614141414142,4407111.60482782
2577,252525709.77126533,1616.2022222222224,4453033.289827455
2578,252525709.77126533,1633.6430303030304,4498879.292006974
2579,252525709.77126533,1651.0838383838386,4544657.4356777975
2580,252525709.77126533,1668.5246464646466,4590375.023827112
2581,252525709.77126533,1685.9654545454546,4636038.870792876
2582,252525709.77126533,1703.4062626262628,4681655.333180935
2583,252525709.77126533,1720.8470707070708,4727230.339053104
2584,252525709.77126533,1738.287878787879,4772769.415430398
2585,252525709.77126533,1755.728686868687,4818277.714166807
2586,252525709.77126533,1773.1694949494952,4863760.036256806
2587,252525709.77126533,1790.6103030303032,4909220.854644946
2588,252525709.77126533,1808.0511111111111,4954664.335608913
2589,252525709.77126533,1825.4919191919194,5000094.3587887855
2590,252525709.77126533,1842.9327272727273,5045514.535935329
2591,252525709.77126533,1860.3735353535355,5090928.228449238
2592,252525709.77126533,1877.8143434343435,5136338.563781642
2593,252525709.77126533,1895.2551515151517,5181748.4507639585
2594,252525709.77126533,1912.6959595959597,5227160.593932702
2595,252525709.77126533,1930.136767676768,5272577.506911942
2596,252525709.77126533,1947.577575757576,5318001.524913249
2597,252525709.77126533,1965.018383838384,5363434.81640982
2598,252525709.77126533,1982.459191919192,5408879.394038497
2599,252525709.77126533,1999.9,5454337.124780282
2601,262626713.6919239,290.70080808080814,60229.6050120338
2602,262626713.6919239,308.1416161616162,125520.93282027701
2603,262626713.6919239,325.5824242424243,191066.9688365283
2604,262626713.6919239,343.0232323232324,256603.6007937618
2605,262626713.6919239,360.4640404040405,322040.46439057257
2606,262626713.6919239,377.90484848484857,387353.32748282363
2607,262626713.6919239,395.3456565656566,452546.8103847423
2608,262626713.6919239,412.7864646464647,517637.96482395806
2609,262626713.6919239,430.2272727272728,582647.8721890679
2610,262626713.6919239,447.66808080808084,647597.2459323158
2611,262626713.6919239,465.10888888888894,712504.297785801
2612,262626713.6919239,482.54969696969704,777383.890468554
2613,262626713.6919239,499.99050505050513,842247.3769697609
2614,262626713.6919239,517.4313131313132,907102.7625353902
2615,262626713.6919239,534.8721212121213,971954.981033086
2616,262626713.6919239,552.3129292929293,1036806.1775002971
2617,262626713.6919239,569.7537373737375,1101655.9508275406
2618,262626713.6919239,587.1945454545455,1166501.5465380396
2619,262626713.6919239,604.6353535353536,1231338.0086972099
2620,262626713.6919239,622.0761616161617,1296158.3075424454
2621,262626713.6919239,639.5169696969698,1360953.4589025474
2622,262626713.6919239,656.9577777777779,1425712.6453588088
2623,262626713.6919239,674.3985858585859,1490423.3392486565
2624,262626713.6919239,691.8393939393941,1555071.4159480464
2625,262626713.6919239,709.2802020202021,1619641.2351045734
2626,262626713.6919239,726.7210101010103,1684115.661019485
2627,262626713.6919239,744.1618181818183,1748475.9880322153
2628,262626713.6919239,761.6026262626264,1812701.762587117
2629,262626713.6919239,779.0434343434345,1876770.4794186347
2630,262626713.6919239,796.4842424242424,1940657.1966889556
2631,262626713.6919239,813.9250505050506,2004334.1177900454
2632,262626713.6919239,831.3658585858586,2067770.2318825757
2633,262626713.6919239,848.8066666666668,2130931.1227363953
2634,262626713.6919239,866.2474747474748,2193779.056942235
2635,262626713.6919239,883.688282828283,2256273.4383494514
2636,262626713.6919239,901.129090909091,2318371.6654039696
2637,262626713.6919239,918.569898989899,2380030.3601782415
2638,262626713.6919239,936.0107070707072,2441206.8685029177
2639,262626713.6919239,953.4515151515152,2501860.878438695
2640,262626713.6919239,970.8923232323234,2561955.9838827294
2641,262626713.6919239,988.3331313131314,2621461.0219261674
2642,262626713.6919239,1005.7739393939396,2680351.085093992
2643,262626713.6919239,1023.2147474747476,2738608.09915356
2644,262626713.6919239,1040.6555555555556,2796220.996027141
2645,262626713.6919239,1058.0963636363638,2853185.5052563753
2646,262626713.6919239,1075.5371717171718,2909503.650620264
2647,262626713.6919239,1092.97797979798,2965183.0486934315
2648,262626713.6919239,1110.418787878788,3020236.102758097
2649,262626713.6919239,1127.8595959595962,3074679.1691472977
2650,262626713.6919239,1145.3004040404041,3128531.7515853704
2651,262626713.6919239,1162.7412121212124,3181815.758464537
2652,262626713.6919239,1180.1820202020203,3234554.8414403046
2653,262626713.6919239,1197.6228282828283,3286773.8219941775
2654,262626713.6919239,1215.0636363636365,3338498.2050746116
2655,262626713.6919239,1232.5044444444445,3389753.774509291
2656,262626713.6919239,1249.9452525252527,3440566.262574442
2657,262626713.6919239,1267.3860606060607,3490961.0851501636
2658,262626713.6919239,1284.826868686869,3540963.133767487
2659,262626713.6919239,1302.267676767677,3590596.6162274596
2660,262626713.6919239,1319.7084848484849,3639884.9381271144
2661,262626713.6919239,1337.149292929293,3688850.6184186228
2662,262626713.6919239,1354.590101010101,3737515.232963138
2663,262626713.6919239,1372.0309090909093,3785899.3808589913
2664,262626713.6919239,1389.4717171717173,3834022.669089324
2665,262626713.6919239,1406.9125252525253,3881903.711727452
2666,262626713.6919239,1424.3533333333335,3929560.1405515475
2667,262626713.6919239,1441.7941414141414,3977008.6244537113
2668,262626713.6919239,1459.2349494949497,4024264.89548656
2669,262626713.6919239,1476.6757575757576,4071343.7797798384
