Date,Time,KW
42170.00,0.39,3830.40
42170.00,0.40,3830.40
42170.00,0.41,3729.60
42170.00,0.42,3763.20
42170.00,0.43,3628.80
42170.00,0.44,3662.40
42170.00,0.45,3729.60
42170.00,0.46,3662.40
42170.00,0.47,3696.00
42170.00,0.48,3864.00
42170.00,0.49,3796.80
42170.00,0.50,3830.40
42170.00,0.51,3763.20
42170.00,0.52,3864.00
42170.00,0.53,3830.40
42170.00,0.54,3763.20
42170.00,0.55,3729.60
42170.00,0.56,3696.00
42170.00,0.57,3628.80
42170.00,0.58,3561.60
42170.00,0.59,3696.00
42170.00,0.60,3662.40
42170.00,0.61,3696.00
42170.00,0.62,3662.40
42170.00,0.64,3628.80
42170.00,0.65,3729.60
42170.00,0.66,3662.40
42170.00,0.67,3662.40
42170.00,0.68,3595.20
42170.00,0.69,3561.60
42170.00,0.70,3528.00
42170.00,0.71,3494.40
42170.00,0.72,3494.40
42170.00,0.73,3528.00
42170.00,0.74,3494.40
42170.00,0.75,3460.80
42170.00,0.76,3494.40
42170.00,0.77,3460.80
42170.00,0.78,3427.20
42170.00,0.79,3360.00
42170.00,0.80,3292.80
42170.00,0.81,3393.60
42170.00,0.82,3393.60
42170.00,0.83,3427.20
42170.00,0.84,3427.20
42170.00,0.85,3360.00
42170.00,0.86,3360.00
42170.00,0.87,3259.20
42170.00,0.89,3225.60
42170.00,0.90,3158.40
42170.00,0.91,3158.40
42170.00,0.92,3158.40
42170.00,0.93,3192.00
42170.00,0.94,3158.40
42170.00,0.95,3192.00
42170.00,0.96,3192.00
42170.00,0.97,3158.40
42170.00,0.98,3124.80
42170.00,0.99,3057.60
42170.00,1.00,3057.60
42171.00,0.01,3024.00
42171.00,0.02,3057.60
42171.00,0.03,3057.60
42171.00,0.04,3057.60
42171.00,0.05,3057.60
42171.00,0.06,3057.60
42171.00,0.07,3024.00
42171.00,0.08,3057.60
42171.00,0.09,3057.60
42171.00,0.10,3124.80
42171.00,0.11,3091.20
42171.00,0.12,3024.00
42171.00,0.14,3024.00
42171.00,0.15,3091.20
42171.00,0.16,3091.20
42171.00,0.17,3091.20
42171.00,0.18,3192.00
42171.00,0.19,3124.80
42171.00,0.20,3124.80
42171.00,0.21,3192.00
42171.00,0.22,3225.60
42171.00,0.23,3326.40
42171.00,0.24,3360.00
42171.00,0.25,3427.20
42171.00,0.26,3494.40
42171.00,0.27,3528.00
42171.00,0.28,3595.20
42171.00,0.29,3696.00
42171.00,0.30,3662.40
42171.00,0.31,3729.60
42171.00,0.32,3662.40
42171.00,0.33,3763.20
42171.00,0.34,3864.00
42171.00,0.35,3931.20
42171.00,0.36,3864.00
42171.00,0.37,3998.40
42171.00,0.39,3931.20
42171.00,0.40,3897.60
42171.00,0.41,4032.00
42171.00,0.42,4065.60
42171.00,0.43,4065.60
42171.00,0.44,3998.40
42171.00,0.45,3998.40
42171.00,0.46,3964.80
42171.00,0.47,4065.60
42171.00,0.48,4065.60
42171.00,0.49,4099.20
42171.00,0.50,4065.60
42171.00,0.51,4065.60
42171.00,0.52,3998.40
42171.00,0.53,3998.40
42171.00,0.54,3998.40
42171.00,0.55,3931.20
42171.00,0.56,3964.80
42171.00,0.57,3897.60
42171.00,0.58,3864.00
42171.00,0.59,3830.40
42171.00,0.60,3830.40
42171.00,0.61,3864.00
42171.00,0.62,3864.00
42171.00,0.64,3931.20
42171.00,0.65,3931.20
42171.00,0.66,3931.20
42171.00,0.67,3864.00
42171.00,0.68,3729.60
42171.00,0.69,3729.60
42171.00,0.70,3696.00
42171.00,0.71,3763.20
42171.00,0.72,3696.00
42171.00,0.73,3696.00
42171.00,0.74,3628.80
42171.00,0.75,3595.20
42171.00,0.76,3696.00
42171.00,0.77,3628.80
42171.00,0.78,3528.00
42171.00,0.79,3528.00
42171.00,0.80,3460.80
42171.00,0.81,3528.00
42171.00,0.82,3561.60
42171.00,0.83,3595.20
42171.00,0.84,3528.00
42171.00,0.85,3494.40
42171.00,0.86,3528.00
42171.00,0.87,3460.80
42171.00,0.89,3393.60
42171.00,0.90,3292.80
42171.00,0.91,3326.40
42171.00,0.92,3393.60
42171.00,0.93,3326.40
42171.00,0.94,3393.60
42171.00,0.95,3292.80
42171.00,0.96,3326.40
42171.00,0.97,3427.20
42171.00,0.98,3326.40
42171.00,0.99,3360.00
42171.00,1.00,3326.40
42172.00,0.01,3292.80
42172.00,0.02,3192.00
42172.00,0.03,3259.20
42172.00,0.04,3259.20
42172.00,0.05,3259.20
42172.00,0.06,3259.20
42172.00,0.07,3192.00
42172.00,0.08,3225.60
42172.00,0.09,3292.80
42172.00,0.10,3225.60
42172.00,0.11,3259.20
42172.00,0.12,3192.00
42172.00,0.14,3225.60
42172.00,0.15,3225.60
42172.00,0.16,3225.60
42172.00,0.17,3225.60
42172.00,0.18,3326.40
42172.00,0.19,3360.00
42172.00,0.20,3427.20
42172.00,0.21,3360.00
42172.00,0.22,3494.40
42172.00,0.23,3595.20
42172.00,0.24,3628.80
42172.00,0.25,3696.00
42172.00,0.26,3729.60
42172.00,0.27,3696.00
42172.00,0.28,3763.20
42172.00,0.29,3864.00
42172.00,0.30,3864.00
42172.00,0.31,3864.00
42172.00,0.32,3864.00
42172.00,0.33,3763.20
42172.00,0.34,3931.20
42172.00,0.35,3998.40
42172.00,0.36,4099.20
42172.00,0.37,4132.80
42172.00,0.39,3931.20
42172.00,0.40,3998.40
42172.00,0.41,4032.00
42172.00,0.42,4099.20
42172.00,0.43,4099.20
42172.00,0.44,4032.00
42172.00,0.45,4065.60
42172.00,0.46,3998.40
42172.00,0.47,3931.20
42172.00,0.48,3998.40
42172.00,0.49,3998.40
42172.00,0.50,3998.40
42172.00,0.51,4032.00
42172.00,0.52,4032.00
42172.00,0.53,4032.00
42172.00,0.54,3998.40
42172.00,0.55,3931.20
42172.00,0.56,3830.40
42172.00,0.57,3830.40
42172.00,0.58,3998.40
42172.00,0.59,3964.80
42172.00,0.60,3964.80
42172.00,0.61,3964.80
42172.00,0.62,4099.20
42172.00,0.64,4065.60
42172.00,0.65,3998.40
42172.00,0.66,4132.80
42172.00,0.67,4032.00
42172.00,0.68,3964.80
42172.00,0.69,3864.00
42172.00,0.70,3864.00
42172.00,0.71,3864.00
42172.00,0.72,3931.20
42172.00,0.73,3864.00
42172.00,0.74,3931.20
42172.00,0.75,3864.00
42172.00,0.76,3830.40
42172.00,0.77,3763.20
42172.00,0.78,3729.60
42172.00,0.79,3696.00
42172.00,0.80,3628.80
42172.00,0.81,3729.60
42172.00,0.82,3729.60
42172.00,0.83,3763.20
42172.00,0.84,3696.00
42172.00,0.85,3662.40
42172.00,0.86,3662.40
42172.00,0.87,3662.40
42172.00,0.89,3595.20
42172.00,0.90,3528.00
42172.00,0.91,3595.20
42172.00,0.92,3528.00
42172.00,0.93,3494.40
42172.00,0.94,3494.40
42172.00,0.95,3460.80
42172.00,0.96,3393.60
42172.00,0.97,3427.20
42172.00,0.98,3360.00
42172.00,0.99,3326.40
42172.00,1.00,3326.40
42173.00,0.01,3225.60
42173.00,0.02,3192.00
42173.00,0.03,3292.80
42173.00,0.04,3292.80
42173.00,0.05,3259.20
42173.00,0.06,3225.60
42173.00,0.07,3259.20
42173.00,0.08,3259.20
42173.00,0.09,3326.40
42173.00,0.10,3259.20
42173.00,0.11,3158.40
42173.00,0.12,3192.00
42173.00,0.14,3192.00
42173.00,0.15,3259.20
42173.00,0.16,3192.00
42173.00,0.17,3158.40
42173.00,0.18,3259.20
42173.00,0.19,3225.60
42173.00,0.20,3292.80
42173.00,0.21,3259.20
42173.00,0.22,3393.60
42173.00,0.23,3460.80
42173.00,0.24,3528.00
42173.00,0.25,3628.80
42173.00,0.26,3696.00
42173.00,0.27,3696.00
42173.00,0.28,3763.20
42173.00,0.29,3830.40
42173.00,0.30,3796.80
42173.00,0.31,3763.20
42173.00,0.32,3796.80
42173.00,0.33,3763.20
42173.00,0.34,3796.80
42173.00,0.35,3864.00
42173.00,0.36,3864.00
42173.00,0.37,3897.60
42173.00,0.39,3931.20
42173.00,0.40,3931.20
42173.00,0.41,3830.40
42173.00,0.42,3864.00
42173.00,0.43,3864.00
42173.00,0.44,3931.20
42173.00,0.45,3830.40
42173.00,0.46,3864.00
42173.00,0.47,3796.80
42173.00,0.48,3864.00
42173.00,0.49,3897.60
42173.00,0.50,3931.20
42173.00,0.51,3864.00
42173.00,0.52,3830.40
42173.00,0.53,3897.60
42173.00,0.54,3830.40
42173.00,0.55,3830.40
42173.00,0.56,3796.80
42173.00,0.57,3864.00
42173.00,0.58,3964.80
42173.00,0.59,3964.80
42173.00,0.60,3964.80
42173.00,0.61,3998.40
42173.00,0.62,3964.80
42173.00,0.64,3964.80
42173.00,0.65,3998.40
42173.00,0.66,3964.80
42173.00,0.67,3998.40
42173.00,0.68,3830.40
42173.00,0.69,3729.60
42173.00,0.70,3729.60
42173.00,0.71,3729.60
42173.00,0.72,3729.60
42173.00,0.73,3729.60
42173.00,0.74,3696.00
42173.00,0.75,3628.80
42173.00,0.76,3662.40
42173.00,0.77,3696.00
42173.00,0.78,3696.00
42173.00,0.79,3561.60
42173.00,0.80,3494.40
42173.00,0.81,3595.20
42173.00,0.82,3561.60
42173.00,0.83,3662.40
42173.00,0.84,3595.20
42173.00,0.85,3528.00
42173.00,0.86,3494.40
42173.00,0.87,3494.40
42173.00,0.89,3460.80
42173.00,0.90,3326.40
42173.00,0.91,3360.00
42173.00,0.92,3326.40
42173.00,0.93,3292.80
42173.00,0.94,3360.00
42173.00,0.95,3259.20
42173.00,0.96,3225.60
42173.00,0.97,3225.60
42173.00,0.98,3259.20
42173.00,0.99,3225.60
42173.00,1.00,3225.60
42174.00,0.01,3124.80
42174.00,0.02,3057.60
42174.00,0.03,3091.20
42174.00,0.04,3158.40
42174.00,0.05,3124.80
42174.00,0.06,3057.60
42174.00,0.07,3057.60
42174.00,0.08,3124.80
42174.00,0.09,3124.80
42174.00,0.10,3124.80
42174.00,0.11,3091.20
42174.00,0.12,3091.20
42174.00,0.14,3057.60
42174.00,0.15,3057.60
42174.00,0.16,3192.00
42174.00,0.17,3091.20
42174.00,0.18,3124.80
42174.00,0.19,3158.40
42174.00,0.20,3091.20
42174.00,0.21,3158.40
42174.00,0.22,3158.40
42174.00,0.23,3326.40
42174.00,0.24,3360.00
42174.00,0.25,3427.20
42174.00,0.26,3494.40
42174.00,0.27,3561.60
42174.00,0.28,3729.60
42174.00,0.29,3763.20
42174.00,0.30,3830.40
42174.00,0.31,3796.80
42174.00,0.32,3796.80
42174.00,0.33,3796.80
42174.00,0.34,3864.00
42174.00,0.35,3931.20
42174.00,0.36,3931.20
42174.00,0.37,3964.80
42174.00,0.39,3964.80
42174.00,0.40,3998.40
42174.00,0.41,4032.00
42174.00,0.42,3964.80
42174.00,0.43,3964.80
42174.00,0.44,3964.80
42174.00,0.45,4032.00
42174.00,0.46,3931.20
42174.00,0.47,4032.00
42174.00,0.48,4065.60
42174.00,0.49,4132.80
42174.00,0.50,4065.60
42174.00,0.51,4065.60
42174.00,0.52,4065.60
42174.00,0.53,4166.40
42174.00,0.54,3998.40
42174.00,0.55,3830.40
42174.00,0.56,3897.60
42174.00,0.57,3998.40
42174.00,0.58,3964.80
42174.00,0.59,4032.00
42174.00,0.60,4065.60
42174.00,0.61,4065.60
42174.00,0.62,4032.00
42174.00,0.64,3964.80
42174.00,0.65,4032.00
42174.00,0.66,4032.00
